,Path,kSAT_k,kSAT_v,kSAT_c,kSAT_actual_v,kSAT_actual_lit,kSAT_clauses_per_variable,kSAT_clauses_per_literal,qubo_density_deg1,qubo_density_deg2,qubo_variables,qubo_monomials,qubo_monomials_per_variable,time_createInstance,time_ChoisReduc,time_totalPath,kSAT_approx_node_connectivity,qubo_approx_node_connectivity
2523,KCMCQ,3,30,80,30,59,2.6666666666666665,1.3559322033898304,1.0,0.025523012552301255,240,972,4.05,0.0004425048828125,0.0567779541015625,0.057220458984375,6,2
2524,KCMCQ,3,30,67,30,57,2.2333333333333334,1.1754385964912282,1.0,0.028159203980099502,201,767,3.81592039800995,0.0004277229309082031,0.04325222969055176,0.04367995262145996,3,1
2525,KCMCQ,3,30,54,30,55,1.8,0.9818181818181818,1.0,0.031055900621118012,162,567,3.5,0.00032711029052734375,0.02626657485961914,0.026593685150146484,2,1
2526,KCMCQ,3,30,41,29,50,1.4137931034482758,0.82,1.0,0.036652005864320936,123,398,3.2357723577235773,0.0002646446228027344,0.015345335006713867,0.015609979629516602,2,1
2527,KCMCQ,3,30,28,28,49,1.0,0.5714285714285714,1.0,0.04274239816408491,84,233,2.7738095238095237,0.00020551681518554688,0.007153511047363281,0.007359027862548828,2,1
2528,KCMCQ,3,30,15,21,32,0.7142857142857143,0.46875,1.0,0.0696969696969697,45,114,2.533333333333333,0.00015044212341308594,0.002271413803100586,0.002421855926513672,1,1
2529,KCMCQ,3,30,2,5,6,0.4,0.3333333333333333,1.0,0.4,6,12,2.0,8.177757263183594e-05,0.0001544952392578125,0.00023627281188964844,0,0
2530,KCMCQ,3,27,288,27,54,10.666666666666666,5.333333333333333,1.0,0.021074739281575897,864,8721,10.09375,0.0014047622680664062,0.7470026016235352,0.7484073638916016,20,9
2531,KCMCQ,3,27,275,27,54,10.185185185185185,5.092592592592593,1.0,0.02119152691968226,825,8028,9.73090909090909,0.0013680458068847656,0.6834304332733154,0.6847984790802002,19,9
2532,KCMCQ,3,27,262,27,54,9.703703703703704,4.851851851851852,1.0,0.021338389977472002,786,7369,9.37531806615776,0.0012698173522949219,0.6233394145965576,0.6246092319488525,19,9
2533,KCMCQ,3,27,249,27,54,9.222222222222221,4.611111111111111,1.0,0.021508733773341802,747,6740,9.022757697456493,0.0012488365173339844,0.5682470798492432,0.5694959163665771,18,9
